,event_name,city,event_description,event_date,date_added
0,"NEW YORK, NY - FHA FIRST Design & Construction Training","New+York,+NY","Free Fair Housing Design and Construction Training


AGENDA


8:30–9:00 - Registration
9:00–9:15 - Welcome & Opening Remarks
9:15–11:00 - Design & Construction Requirements of the Fair Housing Act Technical Overview– Module 10–Part I
11:00 – 11:15 - Break
11:15–12:45 - Design & Construction Requirements of the Fair Housing Act Technical Overview– Module 10–Part II
12:45–2:00 - Lunch (not provided, plan accordingly)
2:00–3:30 - Common Design & Construction Violations & Solutions – Module 9

This program is registered with the American Institute of Architects. Architects will receive up to 4½ continuing education HSW credits.",2017-06-20,2017-04-20 11:35:48.481872
1,"Verizon Innovative Learning Lab: Music Mixing (New York, NY)","New+York,+NY","Saturday, April 22, 2017
Verizon Innovative Learning Lab - Music Mixing
Youth Workshop: Children 8 - 12 Years Old
Do your kids love music? Have they ever wondered how their favorite songs are created? In the Music Mixing lab, kids will learn to mix music samples and create loops to produce their own songs. They’ll use real-time effects, volume controls, and their own vocal recordings to create a unique mixed track. At the end of the session, kids will have become their own mix-masters and will have their first track ready to take home!
Click here to download our FAQ page.
Click here to download our Consent Form.",2017-04-22,2017-04-20 11:35:48.481872
2,Confronting the Tragedy,"New+York,+NY","Confronting the Tragedy: Law Enforcement, Unionism, & Communities of Color
April 28-29  |  9am-5:30pm

The Murphy Institute for Worker Education & Labor Studies, CUNY, is bringing together academics, labor leaders, activists, students, and policy makers to pose crucial questions concerning the criminal justice system and the labor movement’s place and responsibility within it.  Our two-day conference, Confronting the Tragedy: Law Enforcement, Unionism, and Communities of Color, is the culmination of a conversation we began last fall at a forum of the same name  (videos here). These events are designed to examine the complex and interlocking dynamics of race, class, law enforcement and unionism, and thus to support the work of social justice activists, trade unionists, and policy makers to create a more just system of law enforcement.

Confirmed speakers include:


Michael Javen Fortner, Academic Director Urban Studies, Murphy Institute, CUNY; author of Black Silent Majority: The Rockefeller Drug Laws and the Politics of Punishment
Thomas Abt, Senior Research Fellow, Kennedy School, Harvard University; former Deputy Secretary for Public Safety to Governor Andrew Cuomo in NY; and former Chief of Staff to the Office of Justice Programs at the U.S. Department of Justice
Ron DeLord, a leading police union contract negotiator in Texas; author of Law Enforcement, Police Unions, and the Future: Educating Police Management and Unions About the Challenges Ahead
Marie Gottschalk, Professor of Political Science, University of Pennsylvania; author of Caught: The Prison State and the Lockdown of American Politics
Deborah Jacobs, Director of the Office of Law Enforcement Oversight, King County, Washington; former Executive Director for the ACLU of New Jersey
Lisa L. Miller, Associate Professor of Political Science, Rutgers University; author of The Myth of Mob Rule: Violent Crime and Democratic Politics
Michael Leo Owens, Associate Professor of Political Science and Religion, Emory University; co-organizer of the Atlanta Reentry Mapping Network, a research partnership among the Urban Institute, Emory University, and the Georgia Department of Corrections and Board of Pardons and Paroles
John F. Pfaff, Professor of Law, Fordham Law School; author of Locked In: The True Causes of Mass Incarceration and How to Achieve Real Reform
Samuel Walker, Professor Emeritus of Criminal Justice, University of Nebraska Omaha; national expert on policing and criminal justice policy, author of over 14 books, including Police Accountability: The Role of Citizen Oversight
more speakers to be announced!
",2017-04-28,2017-04-20 11:35:48.481872
3,Leading SAFe®  4.0 Training - New York,"New+York,+NY","In this two-day course, attendees will gain the knowledge necessary to lead an enterprise Agile transformation by leveraging the Scaled Agile Framework® 4.0 and its underlying principles of lean thinking and product development flow. This course will enable you to leave with an understanding of how the principles and practices of the Framework support Lean-Agile Programs, Scaling Agile, Lean-Agile Program Portfolio Management, and Scaling Leadership. Whether at the team, program or portfolio level, attendees will be able to explain and implement the practices necessary to achieve business and technical alignment and consistent, sustainable delivery of value.
SAFe® is a registered trademark of Scaled Agile, Inc.
Introduction
This course is available in the following formats:

Publicly, across the United States
Privately, on-site for your organization

Please contact us to inquire about scheduling this course for your organization.
Course Benefits
Upon completion of this course, the participant will be able to:

Apply lean, Agile and product development flow principles to improve productivity, employee engagement, time to market and product quality.
Understand how to leverage the Scaled Agile Framework to implement and scale a consistent Agile approach across multiple teams, departments and programs.
Maintain consistent alignment and sustainable delivery of business strategy from the top of the organization down to the development and delivery teams, managing the delivery plan approach at the Portfolio, Program and Team levels.
Understand the roles and related skills necessary to scale Agile across the enterprise and how each of these roles work together to create a cohesive delivery strategy that maximizes delivery efficiency and overall product value.
Gain valuable insights into the leadership skills that are most effective in unlocking the intrinsic motivation of software development knowledge workers, then learn how to apply these proven practices in your unique organization.

Prerequisites
This course (and certification program) is designed for leaders, managers, and change agents that are responsible for leading a Lean|Agile transformation based on the Scaled Agile Framework® (SAFe®).
There are no required prerequisites for this course, however participants may find the following experience useful before attending the class:

Introduction to Agile, or equivalent knowledge
Agile Bootcamp, or hands-on Agile experience

The following individuals may be interested in this course:

Managers, Directors & VPs
Program & Project Managers
Enterprise Architects
Release Managers
and more…
",2017-06-14,2017-04-20 11:35:48.481872
4,"Botox Training - New York, NY","New+York,+NY","Learn to perform Botox injections and other aesthetic procedures during Empire Medical Training's weekend training programs. For your convenience, we have scheduled the Complete Botox Training, the Dermal Filler and Facial Aesthetics workshops on consecutive days over a weekend. These educational courses are the very basis for every aesthetics practice.
Overview: The Botox Training workshop is very complete and all inclusive and created so that you can immediately begin performing these techniques on your own. The general format of the workshop is to receive very detailed lectures in the morning followed by intensive hands on training in the afternoon.
The workshop gives you the opportunity to use real Botulinum Toxin products on actual live volunteers. In fact, a good percentage of your tuition is used to purchase these supplies as well as all the medicines you will be using. Attendees are also welcome to bring along a friend or companion if you choose to use them for your injections. (Why not, they are receiving FREE injections. We never charge our volunteers).
Workshop Topics: You will learn all the protocols associated with each of the Botulinum Toxin Type A products such as Botox Cosmetic as well as the newer, highly effective Xeomin and Dysport products. To operate a successful aesthetic practice it is important to know about and be able to utilize the different products your patients may ask for. Each will be available and used during the hands on portion of the class so you can decide on your own which Botulinum product will best suit your practice objectives.

Comprehensive Training and Certification: This is a certification program intended only for Physicians and qualified health care practitioners. After completion of the course and demonstration of proficiency, you will receive your certification and course certificate. Attendees also have the option to receive their certificate framed in an attractive wood and metal plaque.
Empire provides you with everything needed to perform Botox injections safely and correctly in your practice so that you will not only become certified to perform Botox injections, but will also gain a level of confidence working on your own patients. Empire has successfully graduated thousands of medical professionals over the past 17 years and helped many of them set up their own Aesthetic practices as well.
Please visit out Botox Training page for more information
For more course information call 866.366.1576 or email info@empiremedicaltraining.com",2017-04-29,2017-04-20 11:35:48.481872
5,"2-DAY TRAINING: BORE ALIGNMENT - Miami, FL","Miami,+FL","This course is the authoritative source of up-to-date laser alignment training.  It features the latest LUDECA tech notes, methods, and information.  It is designed for millwrights, supervisors, engineers and technicians who must become proficient in alignment techniques, troubleshoot complex alignment problems, and/or instruct others.  The course is an intensive mix of hands-on practice and in-depth analysis of alignment methodologies.  Functions, features, and applications are covered extensively.
Syllabus",2017-06-27,2017-04-20 11:35:48.481872
6,"Botox Training - New York, NY","New+York,+NY","Learn to perform Botox injections and other aesthetic procedures during Empire Medical Training's weekend training programs. For your convenience, we have scheduled the Complete Botox Training, the Dermal Filler and Facial Aesthetics workshops on consecutive days over a weekend. These educational courses are the very basis for every aesthetics practice.
Overview: The Botox Training workshop is very complete and all inclusive and created so that you can immediately begin performing these techniques on your own. The general format of the workshop is to receive very detailed lectures in the morning followed by intensive hands on training in the afternoon.
The workshop gives you the opportunity to use real Botulinum Toxin products on actual live volunteers. In fact, a good percentage of your tuition is used to purchase these supplies as well as all the medicines you will be using. Attendees are also welcome to bring along a friend or companion if you choose to use them for your injections. (Why not, they are receiving FREE injections. We never charge our volunteers).
Workshop Topics: You will learn all the protocols associated with each of the Botulinum Toxin Type A products such as Botox Cosmetic as well as the newer, highly effective Xeomin and Dysport products. To operate a successful aesthetic practice it is important to know about and be able to utilize the different products your patients may ask for. Each will be available and used during the hands on portion of the class so you can decide on your own which Botulinum product will best suit your practice objectives.

Comprehensive Training and Certification: This is a certification program intended only for Physicians and qualified health care practitioners. After completion of the course and demonstration of proficiency, you will receive your certification and course certificate. Attendees also have the option to receive their certificate framed in an attractive wood and metal plaque.
Empire provides you with everything needed to perform Botox injections safely and correctly in your practice so that you will not only become certified to perform Botox injections, but will also gain a level of confidence working on your own patients. Empire has successfully graduated thousands of medical professionals over the past 17 years and helped many of them set up their own Aesthetic practices as well.
Please visit out Botox Training page for more information
For more course information call 866.366.1576 or email info@empiremedicaltraining.com",2017-06-03,2017-04-20 11:35:48.481872
7,"Botox Training - New York, NY","New+York,+NY","Learn to perform Botox injections and other aesthetic procedures during Empire Medical Training's weekend training programs. For your convenience, we have scheduled the Complete Botox Training, the Dermal Filler and Facial Aesthetics workshops on consecutive days over a weekend. These educational courses are the very basis for every aesthetics practice.
Overview: The Botox Training workshop is very complete and all inclusive and created so that you can immediately begin performing these techniques on your own. The general format of the workshop is to receive very detailed lectures in the morning followed by intensive hands on training in the afternoon.
The workshop gives you the opportunity to use real Botulinum Toxin products on actual live volunteers. In fact, a good percentage of your tuition is used to purchase these supplies as well as all the medicines you will be using. Attendees are also welcome to bring along a friend or companion if you choose to use them for your injections. (Why not, they are receiving FREE injections. We never charge our volunteers).
Workshop Topics: You will learn all the protocols associated with each of the Botulinum Toxin Type A products such as Botox Cosmetic as well as the newer, highly effective Xeomin and Dysport products. To operate a successful aesthetic practice it is important to know about and be able to utilize the different products your patients may ask for. Each will be available and used during the hands on portion of the class so you can decide on your own which Botulinum product will best suit your practice objectives.

Comprehensive Training and Certification: This is a certification program intended only for Physicians and qualified health care practitioners. After completion of the course and demonstration of proficiency, you will receive your certification and course certificate. Attendees also have the option to receive their certificate framed in an attractive wood and metal plaque.
Empire provides you with everything needed to perform Botox injections safely and correctly in your practice so that you will not only become certified to perform Botox injections, but will also gain a level of confidence working on your own patients. Empire has successfully graduated thousands of medical professionals over the past 17 years and helped many of them set up their own Aesthetic practices as well.
Please visit out Botox Training page for more information
For more course information call 866.366.1576 or email info@empiremedicaltraining.com",2017-07-08,2017-04-20 11:35:48.481872
8,"Botox Training - New York, NY","New+York,+NY","Learn to perform Botox injections and other aesthetic procedures during Empire Medical Training's weekend training programs. For your convenience, we have scheduled the Complete Botox Training, the Dermal Filler and Facial Aesthetics workshops on consecutive days over a weekend. These educational courses are the very basis for every aesthetics practice.
Overview: The Botox Training workshop is very complete and all inclusive and created so that you can immediately begin performing these techniques on your own. The general format of the workshop is to receive very detailed lectures in the morning followed by intensive hands on training in the afternoon.
The workshop gives you the opportunity to use real Botulinum Toxin products on actual live volunteers. In fact, a good percentage of your tuition is used to purchase these supplies as well as all the medicines you will be using. Attendees are also welcome to bring along a friend or companion if you choose to use them for your injections. (Why not, they are receiving FREE injections. We never charge our volunteers).
Workshop Topics: You will learn all the protocols associated with each of the Botulinum Toxin Type A products such as Botox Cosmetic as well as the newer, highly effective Xeomin and Dysport products. To operate a successful aesthetic practice it is important to know about and be able to utilize the different products your patients may ask for. Each will be available and used during the hands on portion of the class so you can decide on your own which Botulinum product will best suit your practice objectives.

Comprehensive Training and Certification: This is a certification program intended only for Physicians and qualified health care practitioners. After completion of the course and demonstration of proficiency, you will receive your certification and course certificate. Attendees also have the option to receive their certificate framed in an attractive wood and metal plaque.
Empire provides you with everything needed to perform Botox injections safely and correctly in your practice so that you will not only become certified to perform Botox injections, but will also gain a level of confidence working on your own patients. Empire has successfully graduated thousands of medical professionals over the past 17 years and helped many of them set up their own Aesthetic practices as well.
Please visit out Botox Training page for more information
For more course information call 866.366.1576 or email info@empiremedicaltraining.com",2017-09-09,2017-04-20 11:35:48.481872
9,"Botox Training - New York, NY","New+York,+NY","Learn to perform Botox injections and other aesthetic procedures during Empire Medical Training's weekend training programs. For your convenience, we have scheduled the Complete Botox Training, the Dermal Filler and Facial Aesthetics workshops on consecutive days over a weekend. These educational courses are the very basis for every aesthetics practice.
Overview: The Botox Training workshop is very complete and all inclusive and created so that you can immediately begin performing these techniques on your own. The general format of the workshop is to receive very detailed lectures in the morning followed by intensive hands on training in the afternoon.
The workshop gives you the opportunity to use real Botulinum Toxin products on actual live volunteers. In fact, a good percentage of your tuition is used to purchase these supplies as well as all the medicines you will be using. Attendees are also welcome to bring along a friend or companion if you choose to use them for your injections. (Why not, they are receiving FREE injections. We never charge our volunteers).
Workshop Topics: You will learn all the protocols associated with each of the Botulinum Toxin Type A products such as Botox Cosmetic as well as the newer, highly effective Xeomin and Dysport products. To operate a successful aesthetic practice it is important to know about and be able to utilize the different products your patients may ask for. Each will be available and used during the hands on portion of the class so you can decide on your own which Botulinum product will best suit your practice objectives.

Comprehensive Training and Certification: This is a certification program intended only for Physicians and qualified health care practitioners. After completion of the course and demonstration of proficiency, you will receive your certification and course certificate. Attendees also have the option to receive their certificate framed in an attractive wood and metal plaque.
Empire provides you with everything needed to perform Botox injections safely and correctly in your practice so that you will not only become certified to perform Botox injections, but will also gain a level of confidence working on your own patients. Empire has successfully graduated thousands of medical professionals over the past 17 years and helped many of them set up their own Aesthetic practices as well.
Please visit out Botox Training page for more information
For more course information call 866.366.1576 or email info@empiremedicaltraining.com",2017-11-04,2017-04-20 11:35:48.481872
